,penyakit,gejala
401,Heart Block or Conduction Delay (Left Bundle) in Cats," and Types

Often, no specific symptoms are seen that can be attributed to LBBB, only those that are related to the underlying disease causing the defect.
             
"
402,Heart Block or Conduction Delay (Left Anterior) in Cats," and Types


There are no specific symptoms related to this condition itself, rather, related to the underlying cause of the LAFB.
 
"
403,Heart Block (Mobitz Type I) in Cats," and Types


    Most affected cats show no symptoms
    If induced by digoxin (a heart medication) overdose, cat may have vomiting and lack of appetite
    Symptoms of congestive heart failure associated with hypertrophic cardiomyopathy
    Weakness

 
"
404,Heart Block (Mobitz Type II)  in Cats," and Types

Some cats remain asymptomatic while other may show the following symptoms:


    Weakness
    Lethargy
    Sudden collapse
    Syncope (fainting)


In cases of digoxin (a drug used to treat many cardiac diseases) intoxication, an animal may show the following symptoms:


    Vomiting
    Poor appetite
    Diarrhea
    Symptoms related to underlying disease


"
405,Heart Block (First-Degree) in Cats," and Types
 
Most cats with this condition will not display and symptoms. However, if induced by digoxin (heart medication) overdose, there may be a loss of appetite,      vomiting, and diarrhea.
 
"
406,Heart Block (Complete) in Cats," and Types
 

    Weakness
    Coughing
    Difficulty breathing
    Inability to perform routine exercise
    Slow heart rate (bradycardia)
    Fainting

 
"
407,Heart Beat Problems (Standstill) in Cats," and Types


    Lethargy
    Muscle wasting
    Slow heart rate (bradycardia)
    A spontaneous loss of consciousness (syncope)


"
408,Heart Beat Problems (Premature Complexes) in Cats," and Types
 
Although there may be no symptoms associated with atrial premature complexes, especially in older cats or in cats that are normally not very active, some common signs include:


    Coughing and      trouble breathing
    Exercise      intolerance
    Fainting      (syncope)
    Cardiac murmur
    Irregular heart      rhythm

 
"
409,Heart Beat Problems (Fibrillation and Flutter) in Cats," and Types
 
Atrial fibrillation is categorized by relevance, including:
 

    Primary atrial fibrillation
    
        No underlying cardiac disease involved – cause not identified
    
    
    Secondary atrial fibrillation
    
        Severe underlying cardiac disease like CHF is usually involved
    
    
    Paroxysmal atrial fibrillation
    
        Periodic, recurrent episodes, which last for a short period of time (less than seven days), with the heart returning to its normal rhythm on its own
    
    
    Persistent atrial fibrillation
    
        Arrhythmia lasts for more than 48 hours, only responds to treatment
    
    
    Permanent atrial fibrillation
    
        Ongoing arrhythmia, cannot be treated
    
    

 
The symptoms generally relate to an underlying disease like congestive heart failure (CHF). Following are few of the symptoms related to atrial fibrillation.
 

    Galloping heart
    Exercise intolerance
    Weakness
    Cough
    Dyspnea (Difficult breathing)
    Tachypnea (Rapid respiratory rate)
    Lethargy
    Syncope/Loss of consciousness 	(rare)

 
"
410,Heart Attacks in Cats," of Heart Attacks in Cats
Many symptoms of a heart attack in cats are nonspecific and can be caused by a variety of conditions.

Taking your cat to a veterinarian for the right diagnosis is important if you notice any abnormal behaviors or symptoms.

Symptoms of heart attacks in cats may include:


	
	Difficulty breathing
	
	
	Panting
	
	
	Changes in heart rate
	
	
	Lethargy
	
	
	Changes in behavior, such as hiding or vocalizing
	
	
	Collapse
	


Blood clots in the heart that cause a heart attack may also break off and travel down the aorta (main artery) to cause a blockage in a condition known as saddle thrombus. This can lead to back leg weakness, paralysis, or legs that feel cold to the touch, in addition to the symptoms listed above.

"
411,Heart (Aortic) Valve Narrowing in Cats," and Types
 
There are three types of three types of aortic stenosis: valvular (present at the valve), subvalvular (present below the valve), or supravalvular (present above the valve). The defect typically develops over the first few weeks to months of life; however, symptoms may appear at any age, depending on the severity of obstruction. Some of the more common symptoms include:
 

    Sudden loss of consciousness (syncope)
    Congestive heart failure
    Difficulty breathing (dyspnea)
    Rapid breathing (tachypnea)
    Abnormal lung sounds

 
"
412,Heart (Aortic) Blood Clot in Cats," and Types




	Vomiting
	Paralysis
	Pain (especially in the legs)
	Abnormalities with gait and/or lameness
	Difficult breathing (e.g., tachypnea)
	Unusual barking or anxious temperament
	Bluish or pale nail beds and food pads
	Hypothermia




"
413,Heart and Lung Diseases in Cats," and Types



Endomyocarditis


	Shortness of breath following a stressful event in a young, healthy cat
	Respiratory signs usually occur 5–21 days after the event
	In 1 report, 73% of cases occurred between August and September




Endocardial Fibroelastosis and EMB


	Heart gallop
	Systolic murmur, reversal of blood flow through heart valves
	Shortness of breath and increased lung sounds, or crackles
	Weakness or paralysis with weak or absent pulse
	Abnormal heart rhythm (arrhythmia) is possible




"
414,Heart and Carotid Artery Tumors in Cats," and Types
 
Aortic body tumors occur on the aortic artery near the base of the heart. They are rarely of a malignant nature; they will grow within the space but not spread to the surrounding organs. These tumors become a health concern when their growth displaces the trachea, when they grow into the adjacent vessels, or when their growth places pressure on the atria or vena cava, impairing their functionality for conveying blood to the body and heart. Symptoms associated with aortic body tumors include:


    Coughing 
    Trouble breathing 
    Symptoms of right-sided congestive heart failure (CHF)
    Weakness, lethargy

 
Carotid body tumors, meanwhile, occur on the common carotid artery near the point of bifurcation -- where the artery splits into the internal and external carotid arteries. These arteries carry oxygenated blood to the head and neck, and are located in the neck. Because of this relation to the major arterial passages, carotid body tumors are often impossible to remove. In the majority of cases, these tumors remain slow growing but benign, and as with aortic tumors, they become a health issue when they invade the spaces of the adjacent blood vessels and lymphatic vessels. In an estimated 30 percent of cases, metastasis may occur into the surrounding organs, such as the lungs, bronchia or lymph nodes, or further into the liver or pancreas. Symptoms associated with carotid body tumors include:




    Regurgitation
    Vomiting 
    Trouble with eating (anorexia)
    Lump in the neck  

 
Other symptoms seen in cats affected by either body tumor type include:


    Severe hemorrhaging due to tumors in the blood vessels (can lead to sudden death)
    Metastasis to local blood vessels (up to 50 percent of cases )
    Organ failure due to cancerous growths (up to 20 percent of cases)



"
415,Hair Loss Related to Cancer in Cats," and Types



There are several symptoms that may be noticed by owners. Individually, the symptoms may be dismissed. But when seen in combination, a visit to the veterinarian should take place quickly. Excessive shedding is common and may be observed, as well as itching and more frequent grooming. A decrease in appetite and weight loss are also signs of a problem. Some cats will develop painful cracks on the pads of their feet and resist walking because of them.



A physical examination will likely involve checking the extent of hair loss, as well as how easily hair falls out. There may be gray spots in the areas of hair loss. The outermost layer of the skin will be examined to determine if it peels. Additionally, the veterinarian will probably check the cat’s footpads for cracks.



"
416,Hair Follicle Tumors in Cats," and Types

Trichoepitheliomas

    Back
    Shoulders
    Flank
    Tail
    Limbs


Pilomatricomas

    Trunk/torso of the body


"
417,Gum Disease in Cats," of Gum Disease in Cats
Symptoms of gingivitis in cats include:


	
	Red, swollen gums
	
	
	Bad breath (halitosis)
	
	
	Plaque on the teeth
	
	
	Varying degrees of tarter buildup
	
	
	Painful mouth, which may present as a cat pawing or rubbing their mouth/face
	
	
	Drooling
	
	
	Dropping food
	
	
	Bleeding gums
	
	
	Only eating soft food
	
	
	Turning head excessively while eating
	


Symptoms of periodontitis in cats include all the above, plus:


	
	Loose teeth
	
	
	Tooth loss
	
	
	Decreased appetite or anorexia
	
	
	Gum recession
	
	
	Exposed tooth roots
	
	
	Teeth chattering
	
	
	Tooth resorption
	


"
418,Glycogen Storage Disease in Cats," and Types



In cats, type IV glycogen storage disease is apparent in Norwegian Forest cats, and often results in death before birth. If your cat survives this condition, symptoms can include fever, muscle tremors, and weakness.



"
419,Glucose in the Urine in Cats," and Types

Glucosuria is categorized as hyperglycemic (260–310 mg/dL ) or normoglycemic, and subcategorized as transient or persistent. Symptoms will depend on the underlying disease, but some possible signs include:


    Diluted urine
    Increased thirst and drinking (polydipsia and polyuria, respectively)
    Renal failure
    Urinary tract disease
    Possible systemic disease (in hyperglycemic glucosuria)                   


"
420,Glomerulonephritis in Cats," and Types

Symptoms may vary depending on the underlying cause, like inflammation, infection, or neoplasia. In some cats, the only presenting symptom may be weight loss and weakness. In fact, many times, the condition is discovered incidental to a routine annual health screening, when increased concentrations of proteins are found in the urine. If the protein loss into the urine is severe, the cat may develop an abnormal collection of fluid in the abdominal cavity (ascites).

In cats suffering from advanced disease with kidney failure, there may be symptoms of increased thirst and frequency of urination, lack of appetite, nausea, and vomiting. Those with a severe deficiency of the blood protein albumin (hypoalbuminemia), may suffer from a blockage of the lung's blood vessels, which causes respiratory difficulties or severe panting. High blood pressure, meanwhile, may cause sudden blindness.

"
